infra_id,infra_type,longueur
P000003,infra_intacte,18.09814091836334
P000009,infra_intacte,42.791970525937614
P000015,infra_intacte,31.82796800779964
P000020,infra_intacte,1436.7389538560492
P000023,infra_intacte,181.4235358472576
P000029,infra_intacte,37.8914415130348
P000040,infra_intacte,15.2944907641422
P000046,infra_intacte,2316.9625300646703
P000049,infra_intacte,52.0046594977444
P000052,infra_intacte,25.7130151967428
P000055,infra_intacte,14.29505973689745
P000058,infra_intacte,11.0116218465433
P000064,infra_intacte,59.13439851967496
P000066,infra_intacte,645.3816440422847
P000068,infra_intacte,131.5243574628044
P000071,infra_intacte,8.44676285897103
P000073,infra_intacte,2.54140040517955
P000075,infra_intacte,76.6760720979358
P000078,infra_intacte,131.459444771186
P000084,infra_intacte,5591.746527301489
P000103,infra_intacte,124.5123639569112
P000113,infra_intacte,40.6673931291026
P000115,infra_intacte,1235.926707872024
P000118,infra_intacte,13.26235718842074
P000121,infra_intacte,223.4581120046852
P000123,infra_intacte,99.9868952149707
P000126,infra_intacte,70.28464785003683
P000134,infra_intacte,5406.340304376053
P000136,infra_intacte,160.2431397354736
P000139,infra_intacte,68.326168866357
P000141,infra_intacte,182.5304264490762
P000142,infra_intacte,1870.47415052747
P000145,infra_intacte,35.050780157963
P000147,infra_intacte,85.50817376584669
P000148,infra_intacte,238.5227281606701
P000149,infra_intacte,231.924868528122
P000151,infra_intacte,131.8629218173068
P000153,infra_intacte,1206.092326341067
P000160,infra_intacte,1695.7596701316393
P000163,infra_intacte,20372.71055409565
P000166,infra_intacte,119.3175275115756
P000168,infra_intacte,51.8831435021526
P000170,infra_intacte,65.64957584537339
P000181,infra_intacte,1992.9683535187855
P000185,infra_intacte,22.593498535878
P000187,infra_intacte,30.0135293317388
P000192,infra_intacte,17.32474248194044
P000196,infra_intacte,118.20308816972221
P000198,infra_intacte,63.8533111531779
P000203,infra_intacte,38.1277841628956
P000206,infra_intacte,48.02444982437581
P000209,infra_intacte,28.5887515193481
P000211,infra_intacte,269.92639425737826
P000214,infra_intacte,38.0763885335691
P000216,infra_intacte,247.5148297029772
P000221,infra_intacte,115.3793106546532
P000223,infra_intacte,45.0362510620056
P000226,infra_intacte,1571.5881835985472
P000230,infra_intacte,23.225078746165
P000231,infra_intacte,251.4382992352679
P000233,infra_intacte,2493.0170635616732
P000235,infra_intacte,25.507602425809
P000236,infra_intacte,91.2518882180836
P000240,infra_intacte,44.8993914988918
P000241,infra_intacte,835.8019468628974
P000245,infra_intacte,38.5516120828696
P000252,infra_intacte,3274.3584118657236
P000253,infra_intacte,1113.746041244448
P000256,infra_intacte,941.8774350322368
P000258,infra_intacte,77.80544072207
P000260,infra_intacte,38.3094946680948
P000262,infra_intacte,11.0626858478597
P000264,infra_intacte,27.2807625414074
P000265,infra_intacte,2497.6625483336647
P000266,infra_intacte,226.0055197946271
P000267,infra_intacte,311.057133088134
P000270,infra_intacte,20.3842906070974
P000273,infra_intacte,35.493352035404
P000275,infra_intacte,86.8399385386082
P000277,infra_intacte,143.9933418905214
P000279,infra_intacte,14006.39673105565
P000282,infra_intacte,39.7682658892732
P000284,infra_intacte,34.4802335778988
P000286,infra_intacte,4.76390816476162
P000289,infra_intacte,1.09874852501929
P000290,infra_intacte,1966.6005711222033
P000291,infra_intacte,13.79094755487538
P000292,infra_intacte,2412.2577240397973
P000294,infra_intacte,384.927967019807
P000296,infra_intacte,4368.67507660776
P000298,infra_intacte,35.7367323762594
P000299,infra_intacte,163.8572403597148
P000301,infra_intacte,40.158686100658
P000306,infra_intacte,77.1949380531368
P000308,infra_intacte,1409.0687483924771
P000310,infra_intacte,40.914847635010204
P000311,infra_intacte,299.58294503552247
P000312,infra_intacte,79.93605128315909
P000314,infra_intacte,202.1757866755518
P000317,infra_intacte,17883.638378462016
P000323,infra_intacte,16.59063041381836
P000326,infra_intacte,1389.270174683898
P000328,infra_intacte,417.2482997796152
P000331,infra_intacte,620.3424820034688
P000333,infra_intacte,29.0993881656728
P000334,infra_intacte,360.6693103728376
P000335,infra_intacte,1143.4809872918786
P000339,infra_intacte,1195.0746215496101
P000342,infra_intacte,751.6012440641296
P000344,infra_intacte,14.4852003829022
P000347,infra_intacte,619.9813561173011
P000348,infra_intacte,219.11043532885344
P000349,infra_intacte,495.1284756462486
P000352,infra_intacte,13.33194647957036
P000353,infra_intacte,1147.0496674577548
P000355,infra_intacte,1139.9715482847712
P000360,infra_intacte,10.7595134110217
P000365,infra_intacte,97.98027456363661
P000367,infra_intacte,214.8593421837888
P000369,infra_intacte,221.9476323684372
P000371,infra_intacte,30.7548928080366
P000372,infra_intacte,1245.3137770350077
P000374,infra_intacte,18.1060907381786
P000376,infra_intacte,58.0313185933344
P000378,infra_intacte,54.9636114649082
P000380,infra_intacte,7252.332105539104
P000381,infra_intacte,2587.8463840077065
P000388,infra_intacte,172.56568087808822
P000391,infra_intacte,33.24588596884615
P000393,infra_intacte,8.25657421867361
P000394,infra_intacte,12043.376069816135
P000395,infra_intacte,5855.467675101948
P000396,infra_intacte,1166.4006133520033
P000398,infra_intacte,51.9928119921802
P000400,infra_intacte,104.0527843930894
P000402,infra_intacte,81.3077862042789
P000403,infra_intacte,53.662045999498446
P000462,a_remplacer,11.08432806247257
P000464,a_remplacer,19.43501241649296
P000470,a_remplacer,15.433496754875762
P000476,a_remplacer,32.67875966310624
P000494,a_remplacer,91.96133251345907
P000600,a_remplacer,9.68226549663264
P000604,a_remplacer,4.98282106064181
P000621,a_remplacer,6.05514938826793
P000627,a_remplacer,4.90868168597643
P000629,a_remplacer,5.31366434867898
P000633,a_remplacer,5.1921602413572
P000635,a_remplacer,5.16644492273189
P000644,a_remplacer,5.79686473036686
P000717,a_remplacer,5.06471817304192
P000719,a_remplacer,438.624533383374
P000723,a_remplacer,52.6397689357676
P000730,a_remplacer,1.29899271965775
P000732,a_remplacer,442.2726829529813
