id_batiment,nb_maisons,type_batiment,type_batiment_norm,cat_score,occ_rate,is_uninhabited
E000132,1,habitation,habitation,1.0,1.0,0
E000133,1,habitation,habitation,1.0,1.0,0
E000134,1,habitation,habitation,1.0,1.0,0
E000135,1,habitation,habitation,1.0,1.0,0
E000136,1,habitation,habitation,1.0,1.0,0
E000137,1,habitation,habitation,1.0,1.0,0
E000138,1,habitation,habitation,1.0,1.0,0
E000139,1,habitation,habitation,1.0,1.0,0
E000140,1,habitation,habitation,1.0,1.0,0
E000141,1,habitation,habitation,1.0,1.0,0
E000142,1,habitation,habitation,1.0,1.0,0
E000143,1,habitation,habitation,1.0,1.0,0
E000144,1,habitation,habitation,1.0,1.0,0
E000145,1,habitation,habitation,1.0,1.0,0
E000146,1,habitation,habitation,1.0,1.0,0
E000147,4,habitation,habitation,1.0,1.0,0
E000148,1,habitation,habitation,1.0,1.0,0
E000149,1,habitation,habitation,1.0,1.0,0
E000150,1,habitation,habitation,1.0,1.0,0
E000151,1,habitation,habitation,1.0,1.0,0
E000152,1,habitation,habitation,1.0,1.0,0
E000153,1,habitation,habitation,1.0,1.0,0
E000154,1,habitation,habitation,1.0,1.0,0
E000155,1,habitation,habitation,1.0,1.0,0
E000156,1,habitation,habitation,1.0,1.0,0
E000157,1,habitation,habitation,1.0,1.0,0
E000158,1,habitation,habitation,1.0,1.0,0
E000159,1,habitation,habitation,1.0,1.0,0
E000160,1,habitation,habitation,1.0,1.0,0
E000161,1,habitation,habitation,1.0,1.0,0
E000162,1,habitation,habitation,1.0,1.0,0
E000163,1,habitation,habitation,1.0,1.0,0
E000164,1,habitation,habitation,1.0,1.0,0
E000165,1,habitation,habitation,1.0,1.0,0
E000166,1,habitation,habitation,1.0,1.0,0
E000167,1,habitation,habitation,1.0,1.0,0
E000168,1,habitation,habitation,1.0,1.0,0
E000169,1,habitation,habitation,1.0,1.0,0
E000170,1,habitation,habitation,1.0,1.0,0
E000171,1,habitation,habitation,1.0,1.0,0
E000172,1,habitation,habitation,1.0,1.0,0
E000173,1,habitation,habitation,1.0,1.0,0
E000174,1,habitation,habitation,1.0,1.0,0
E000175,1,habitation,habitation,1.0,1.0,0
E000176,1,habitation,habitation,1.0,1.0,0
E000177,1,habitation,habitation,1.0,1.0,0
E000178,1,habitation,habitation,1.0,1.0,0
E000179,1,habitation,habitation,1.0,1.0,0
E000180,1,habitation,habitation,1.0,1.0,0
E000181,1,habitation,habitation,1.0,1.0,0
E000182,1,habitation,habitation,1.0,1.0,0
