id_batiment,type_batiment,nb_maisons,type_batiment_norm,cat_score,occ_rate,is_uninhabited
E000132,habitation,1,habitation,1.0,1.0,0
E000133,habitation,1,habitation,1.0,1.0,0
E000134,habitation,1,habitation,1.0,1.0,0
E000135,habitation,1,habitation,1.0,1.0,0
E000136,habitation,1,habitation,1.0,1.0,0
E000137,habitation,1,habitation,1.0,1.0,0
E000138,habitation,1,habitation,1.0,1.0,0
E000139,habitation,1,habitation,1.0,1.0,0
E000140,habitation,1,habitation,1.0,1.0,0
E000141,habitation,1,habitation,1.0,1.0,0
E000142,habitation,1,habitation,1.0,1.0,0
E000143,habitation,1,habitation,1.0,1.0,0
E000144,habitation,1,habitation,1.0,1.0,0
E000145,habitation,1,habitation,1.0,1.0,0
E000146,habitation,1,habitation,1.0,1.0,0
E000147,habitation,4,habitation,1.0,1.0,0
E000148,habitation,1,habitation,1.0,1.0,0
E000149,habitation,1,habitation,1.0,1.0,0
E000150,habitation,1,habitation,1.0,1.0,0
E000151,habitation,1,habitation,1.0,1.0,0
E000152,habitation,1,habitation,1.0,1.0,0
E000153,habitation,1,habitation,1.0,1.0,0
E000154,habitation,1,habitation,1.0,1.0,0
E000155,habitation,1,habitation,1.0,1.0,0
E000156,habitation,1,habitation,1.0,1.0,0
E000157,habitation,1,habitation,1.0,1.0,0
E000158,habitation,1,habitation,1.0,1.0,0
E000159,habitation,1,habitation,1.0,1.0,0
E000160,habitation,1,habitation,1.0,1.0,0
E000161,habitation,1,habitation,1.0,1.0,0
E000162,habitation,1,habitation,1.0,1.0,0
E000163,habitation,1,habitation,1.0,1.0,0
E000164,habitation,1,habitation,1.0,1.0,0
E000165,habitation,1,habitation,1.0,1.0,0
E000166,habitation,1,habitation,1.0,1.0,0
E000167,habitation,1,habitation,1.0,1.0,0
E000168,habitation,1,habitation,1.0,1.0,0
E000169,habitation,1,habitation,1.0,1.0,0
E000170,habitation,1,habitation,1.0,1.0,0
E000171,habitation,1,habitation,1.0,1.0,0
E000172,habitation,1,habitation,1.0,1.0,0
E000173,habitation,1,habitation,1.0,1.0,0
E000174,habitation,1,habitation,1.0,1.0,0
E000175,habitation,1,habitation,1.0,1.0,0
E000176,habitation,1,habitation,1.0,1.0,0
E000177,habitation,1,habitation,1.0,1.0,0
E000178,habitation,1,habitation,1.0,1.0,0
E000179,habitation,1,habitation,1.0,1.0,0
E000180,habitation,1,habitation,1.0,1.0,0
E000181,habitation,1,habitation,1.0,1.0,0
E000182,habitation,1,habitation,1.0,1.0,0
E000183,habitation,1,habitation,1.0,1.0,0
E000184,habitation,1,habitation,1.0,1.0,0
E000185,habitation,1,habitation,1.0,1.0,0
E000186,habitation,1,habitation,1.0,1.0,0
E000187,habitation,1,habitation,1.0,1.0,0
E000188,habitation,1,habitation,1.0,1.0,0
E000189,habitation,1,habitation,1.0,1.0,0
E000190,habitation,1,habitation,1.0,1.0,0
E000191,habitation,1,habitation,1.0,1.0,0
E000192,habitation,1,habitation,1.0,1.0,0
E000193,habitation,1,habitation,1.0,1.0,0
E000194,habitation,1,habitation,1.0,1.0,0
E000195,habitation,1,habitation,1.0,1.0,0
E000196,habitation,1,habitation,1.0,1.0,0
E000197,habitation,1,habitation,1.0,1.0,0
E000198,habitation,1,habitation,1.0,1.0,0
E000199,habitation,1,habitation,1.0,1.0,0
E000200,habitation,1,habitation,1.0,1.0,0
E000201,habitation,1,habitation,1.0,1.0,0
E000202,habitation,1,habitation,1.0,1.0,0
E000203,habitation,1,habitation,1.0,1.0,0
E000204,habitation,1,habitation,1.0,1.0,0
