id_batiment,nb_maisons_x,infra_id,infra_type,longueur,type_infra_src,nb_maisons_y,type_batiment,type_infra,nb_maisons
E000014,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000014,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000014,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000014,1,P007982,infra_intacte,49.956115228201,fourreau,5,habitation,infra_intacte,1
E000014,1,P000241,infra_intacte,75.9819951693543,fourreau,5,habitation,infra_intacte,1
E000014,1,P007397,infra_intacte,11.6968926113381,aerien,5,habitation,infra_intacte,1
E000015,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000015,1,P007983,infra_intacte,40.3209288665353,aerien,6,habitation,infra_intacte,1
E000015,1,P000160,infra_intacte,44.6252544771484,semi-aerien,6,habitation,infra_intacte,1
E000015,1,P000348,infra_intacte,9.12960147203556,aerien,6,habitation,infra_intacte,1
E000015,1,P000020,infra_intacte,51.3121054948589,aerien,6,habitation,infra_intacte,1
E000015,1,P007255,infra_intacte,12.4716405643877,semi-aerien,6,habitation,infra_intacte,1
E000016,1,P007111,infra_intacte,12.3144613356693,fourreau,5,habitation,infra_intacte,1
E000016,1,P007983,infra_intacte,40.3209288665353,aerien,5,habitation,infra_intacte,1
E000016,1,P000160,infra_intacte,44.6252544771484,semi-aerien,5,habitation,infra_intacte,1
E000016,1,P000348,infra_intacte,9.12960147203556,aerien,5,habitation,infra_intacte,1
E000016,1,P000020,infra_intacte,51.3121054948589,aerien,5,habitation,infra_intacte,1
E000016,1,P007333,infra_intacte,10.3639351214682,aerien,5,habitation,infra_intacte,1
E000017,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000017,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000017,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000017,1,P007982,infra_intacte,49.956115228201,fourreau,7,habitation,infra_intacte,1
E000017,1,P000241,infra_intacte,75.9819951693543,fourreau,7,habitation,infra_intacte,1
E000017,1,P000029,infra_intacte,18.9457207565174,aerien,7,habitation,infra_intacte,1
E000017,1,P007325,infra_intacte,8.42688269265196,fourreau,7,habitation,infra_intacte,1
E000018,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000018,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000018,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000018,1,P007982,infra_intacte,49.956115228201,fourreau,3,habitation,infra_intacte,1
E000018,1,P000241,infra_intacte,75.9819951693543,fourreau,3,habitation,infra_intacte,1
E000018,1,P000029,infra_intacte,18.9457207565174,aerien,3,habitation,infra_intacte,1
E000018,1,P007381,infra_intacte,9.80887356986274,semi-aerien,3,habitation,infra_intacte,1
E000019,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000019,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000019,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
E000019,1,P007982,infra_intacte,49.956115228201,fourreau,2,habitation,infra_intacte,1
E000019,1,P000241,infra_intacte,75.9819951693543,fourreau,2,habitation,infra_intacte,1
E000019,1,P000170,infra_intacte,21.8831919484578,aerien,2,habitation,infra_intacte,1
E000019,1,P007215,infra_intacte,7.51222531488334,fourreau,2,habitation,infra_intacte,1
E000020,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
