id_batiment,nb_maisons_x,infra_id,infra_type,longueur,type_infra_src,nb_maisons_y,type_batiment,type_infra,nb_maisons,hours_per_m,cost_per_m,man_hours,time_total_h,material_cost,labor_cost,cost_total,a_reparer,is_hospital
E000001,4,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,4,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000001,4,P007983,infra_intacte,40.3209288665353,aerien,3,habitation,infra_intacte,4,2,500,80.6418577330706,20.16046443326765,20160.464433267647,3024.0696649901474,23184.534098257795,0,0
E000001,4,P000308,infra_intacte,39.1407985664577,fourreau,3,habitation,infra_intacte,4,5,900,195.7039928322885,48.92599820807212,35226.718709811925,7338.899731210819,42565.61844102274,0,0
E000001,4,P007819,infra_intacte,17.3904643240185,fourreau,3,habitation,infra_intacte,4,5,900,86.95232162009249,21.738080405023123,15651.41789161665,3260.7120607534684,18912.129952370116,0,0
E000002,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000002,1,P007983,infra_intacte,40.3209288665353,aerien,3,habitation,infra_intacte,1,2,500,80.6418577330706,20.16046443326765,20160.464433267647,3024.0696649901474,23184.534098257795,0,0
E000002,1,P000308,infra_intacte,39.1407985664577,fourreau,3,habitation,infra_intacte,1,5,900,195.7039928322885,48.92599820807212,35226.718709811925,7338.899731210819,42565.61844102274,0,0
E000002,1,P007240,infra_intacte,10.9146257880949,aerien,3,habitation,infra_intacte,1,2,500,21.8292515761898,5.45731289404745,5457.31289404745,818.5969341071176,6275.909828154568,0,0
E000003,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000003,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000004,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000004,1,P007983,infra_intacte,40.3209288665353,aerien,2,habitation,infra_intacte,1,2,500,80.6418577330706,20.16046443326765,20160.464433267647,3024.0696649901474,23184.534098257795,0,0
E000004,1,P000308,infra_intacte,39.1407985664577,fourreau,2,habitation,infra_intacte,1,5,900,195.7039928322885,48.92599820807212,35226.718709811925,7338.899731210819,42565.61844102274,0,0
E000004,1,P000378,infra_intacte,27.4818057324541,aerien,2,habitation,infra_intacte,1,2,500,54.9636114649082,13.74090286622705,13740.90286622705,2061.1354299340574,15802.038296161107,0,0
E000004,1,P007393,infra_intacte,10.6355248457681,fourreau,2,habitation,infra_intacte,1,5,900,53.1776242288405,13.294406057210125,9571.972361191289,1994.1609085815187,11566.133269772807,0,0
E000005,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000005,1,P007983,infra_intacte,40.3209288665353,aerien,7,habitation,infra_intacte,1,2,500,80.6418577330706,20.16046443326765,20160.464433267647,3024.0696649901474,23184.534098257795,0,0
E000005,1,P000308,infra_intacte,39.1407985664577,fourreau,7,habitation,infra_intacte,1,5,900,195.7039928322885,48.92599820807212,35226.718709811925,7338.899731210819,42565.61844102274,0,0
E000005,1,P000378,infra_intacte,27.4818057324541,aerien,7,habitation,infra_intacte,1,2,500,54.9636114649082,13.74090286622705,13740.90286622705,2061.1354299340574,15802.038296161107,0,0
E000005,1,P007249,infra_intacte,14.6437823794193,aerien,7,habitation,infra_intacte,1,2,500,29.2875647588386,7.32189118970965,7321.89118970965,1098.2836784564474,8420.174868166097,0,0
E000006,1,P007111,infra_intacte,12.3144613356693,fourreau,4,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000006,1,P007983,infra_intacte,40.3209288665353,aerien,4,habitation,infra_intacte,1,2,500,80.6418577330706,20.16046443326765,20160.464433267647,3024.0696649901474,23184.534098257795,0,0
E000006,1,P000308,infra_intacte,39.1407985664577,fourreau,4,habitation,infra_intacte,1,5,900,195.7039928322885,48.92599820807212,35226.718709811925,7338.899731210819,42565.61844102274,0,0
E000006,1,P000308,infra_intacte,39.1407985664577,fourreau,4,habitation,infra_intacte,1,5,900,195.7039928322885,48.92599820807212,35226.718709811925,7338.899731210819,42565.61844102274,0,0
E000006,1,P007173,infra_intacte,8.70234350887561,aerien,4,habitation,infra_intacte,1,2,500,17.40468701775122,4.351171754437805,4351.171754437804,652.6757631656707,5003.847517603475,0,0
E000007,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000007,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
E000007,1,P007111,infra_intacte,12.3144613356693,fourreau,1,habitation,infra_intacte,1,5,900,61.5723066783465,15.393076669586625,11083.01520210237,2308.961500437994,13391.976702540363,0,0
