id_batiment,nb_maisons,infra_id,infra_type,longueur,type_batiment,nb_maisons_bat,id_infra,type_infra,unit_cost_eur_m,unit_time_h_m,a_reparer,man_hours,material_cost,labor_cost,cost_total,time_total_h,is_hospital,hospital_time_goal_h,hosp_time_needed_h,hospital_risk
E000010,1,P007111,infra_intacte,12.3144613356693,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000010,1,P007111,infra_intacte,12.3144613356693,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000010,1,P007111,infra_intacte,12.3144613356693,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000010,1,P007982,infra_intacte,49.956115228201,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000010,1,P000352,infra_intacte,3.33298661989259,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000010,1,P007115,infra_intacte,10.5939670191223,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000011,1,P007111,infra_intacte,12.3144613356693,habitation,8,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000011,1,P007111,infra_intacte,12.3144613356693,habitation,8,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000011,1,P007111,infra_intacte,12.3144613356693,habitation,8,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000011,1,P007982,infra_intacte,49.956115228201,habitation,8,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000011,1,P000352,infra_intacte,3.33298661989259,habitation,8,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000011,1,P007321,infra_intacte,12.8143378133663,habitation,8,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000012,1,P007111,infra_intacte,12.3144613356693,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000012,1,P007111,infra_intacte,12.3144613356693,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000012,1,P007111,infra_intacte,12.3144613356693,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000012,1,P007982,infra_intacte,49.956115228201,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000012,1,P000241,infra_intacte,75.9819951693543,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000012,1,P007150,infra_intacte,8.33214989007513,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000013,1,P007111,infra_intacte,12.3144613356693,habitation,3,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000013,1,P007111,infra_intacte,12.3144613356693,habitation,3,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000013,1,P007111,infra_intacte,12.3144613356693,habitation,3,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000013,1,P007982,infra_intacte,49.956115228201,habitation,3,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000013,1,P000241,infra_intacte,75.9819951693543,habitation,3,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000013,1,P007151,infra_intacte,10.0290766801889,habitation,3,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000014,1,P007111,infra_intacte,12.3144613356693,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000014,1,P007111,infra_intacte,12.3144613356693,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000014,1,P007111,infra_intacte,12.3144613356693,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000014,1,P007982,infra_intacte,49.956115228201,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000014,1,P000241,infra_intacte,75.9819951693543,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000014,1,P007397,infra_intacte,11.6968926113381,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000015,1,P007111,infra_intacte,12.3144613356693,habitation,6,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000015,1,P007983,infra_intacte,40.3209288665353,habitation,6,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000015,1,P000160,infra_intacte,44.6252544771484,habitation,6,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000015,1,P000348,infra_intacte,9.12960147203556,habitation,6,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000015,1,P000020,infra_intacte,51.3121054948589,habitation,6,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000015,1,P007255,infra_intacte,12.4716405643877,habitation,6,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000016,1,P007111,infra_intacte,12.3144613356693,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000016,1,P007983,infra_intacte,40.3209288665353,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000016,1,P000160,infra_intacte,44.6252544771484,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000016,1,P000348,infra_intacte,9.12960147203556,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000016,1,P000020,infra_intacte,51.3121054948589,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000016,1,P007333,infra_intacte,10.3639351214682,habitation,5,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000017,1,P007111,infra_intacte,12.3144613356693,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000017,1,P007111,infra_intacte,12.3144613356693,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000017,1,P007111,infra_intacte,12.3144613356693,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000017,1,P007982,infra_intacte,49.956115228201,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000017,1,P000241,infra_intacte,75.9819951693543,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000017,1,P000029,infra_intacte,18.9457207565174,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000017,1,P007325,infra_intacte,8.42688269265196,habitation,7,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
E000018,1,P007111,infra_intacte,12.3144613356693,habitation,3,,nan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0
