id_batiment,is_hospital,infra_id,type_infra,longueur,man_hours,time_total_h,material_cost,labor_cost,cost_total,plan_order,phase,cost_cum,time_cum_h,pct_cum_all
E000085,1,P007990,a_remplacer,18.7028610321555,37.405722064311,9.35143051607775,9351.43051607775,1402.7145774116625,10754.145093489413,0,1.0,10754.145093489413,9.35143051607775,0.0027052401124700066
E000085,1,P005500,a_remplacer,13.1420349052071,26.2840698104142,6.57101745260355,6571.01745260355,985.6526178905325,7556.670070494082,0,1.0,18310.815163983494,15.9224479686813,0.004606145002043995
E000085,1,P007447,a_remplacer,2.84535154473363,14.22675772366815,3.5566894309170376,2560.8163902602673,533.5034146375557,3094.319804897823,0,1.0,21405.134968881317,19.479137399598336,0.005384531194925817
E000194,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,297,1.0,27607.739668831666,24.872706703902985,0.006944816544456674
E000194,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,297,1.0,33810.34436878201,30.266276008207633,0.008505101893987529
E000194,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,297,1.0,39961.78599550006,35.61535568361463,0.010052517006341742
E000194,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,297,1.0,46113.22762221811,40.96443535902163,0.011599932118695953
E000194,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,297,1.0,51749.27034588774,45.86534207525609,0.013017696963704067
E000194,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,297,1.0,57385.31306955736,50.76624879149055,0.01443546180871218
E000194,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,297,1.0,60984.67320257062,53.89612716802382,0.015340892535785756
E000194,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,297,1.0,64584.03333558388,57.02600554455709,0.01624632326285933
E000302,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,298,1.0,70786.63803553423,62.419574848861735,0.01780660861239019
E000302,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,298,1.0,76989.24273548457,67.81314415316639,0.019366893961921042
E000302,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,298,1.0,83191.84743543492,73.20671345747104,0.0209271793114519
E000302,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,298,1.0,89343.28906215297,78.55579313287804,0.02247459442380611
E000302,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,298,1.0,95494.73068887102,83.90487280828503,0.02402200953616032
E000302,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,298,1.0,101130.77341254064,88.8057795245195,0.025439774381168435
E000302,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,298,1.0,106766.81613621027,93.70668624075395,0.02685753922617655
E000302,0,P007631,a_remplacer,4.7919164305287,23.959582152643502,5.989895538160876,4312.72478747583,898.4843307241314,5211.209118199962,298,1.0,111978.02525441023,99.69658177891483,0.028168435798472072
E000302,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,298,1.0,115577.38538742349,102.8264601554481,0.02907386652554565
E000302,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,298,1.0,119176.74552043676,105.95633853198137,0.029979297252619226
E000302,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,298,1.0,122776.10565345002,109.08621690851464,0.030884727979692803
E000302,0,P000730,a_remplacer,1.29899271965775,6.49496359828875,1.6237408995721876,1169.093447691975,243.56113493582814,1412.654582627803,298,1.0,124188.76023607783,110.70995780808683,0.031240085826250305
E000364,0,P008031,a_remplacer,10.978932377147,21.957864754294,5.4894661885735,5489.4661885735,823.419928286025,6312.886116859525,299,1.0,130501.64635293736,116.19942399666033,0.032828112824242216
E000364,0,P004862,a_remplacer,8.82148724309171,17.64297448618342,4.410743621545855,4410.743621545855,661.6115432318783,5072.355164777733,299,1.0,135574.00151771508,120.61016761820619,0.03410408023375377
E000364,0,P007518,a_remplacer,4.91814131725302,9.83628263450604,2.45907065862651,2459.07065862651,368.86059879397646,2827.9312574204864,299,1.0,138401.93277513556,123.0692382768327,0.034815455522665684
E000228,0,P008003,a_remplacer,16.9947899061457,33.9895798122914,8.49739495307285,8497.394953072851,1274.6092429609275,9772.004196033778,300,1.0,148173.93697116934,131.56663322990556,0.03727363490378078
E000228,0,P008011,a_remplacer,10.0806400820172,40.3225603280688,10.0806400820172,7560.480061512901,1512.0960123025802,9072.57607381548,300,1.0,157246.51304498484,141.64727331192276,0.03955587087000185
E000228,0,P008010,a_remplacer,7.57564714734482,37.8782357367241,9.469558934181025,6818.0824326103375,1420.4338401271539,8238.516272737492,300,1.0,165485.02931772234,151.1168322461038,0.04162829638541907
E000228,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,300,1.0,171687.63401767268,156.51040155040846,0.043188581734949924
E000228,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,300,1.0,177839.07564439074,161.85948122581547,0.04473599684730414
E000228,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,300,1.0,183475.1183680604,166.76038794204993,0.04615376169231226
E000228,0,P008004,a_remplacer,4.2679056836056,21.339528418028003,5.334882104507001,3841.11511524504,800.2323156760501,4641.347430921091,300,1.0,188116.4657989815,172.09527004655692,0.04732130770707067
E000228,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,300,1.0,191715.82593199474,175.2251484230902,0.048226738434144246
E000228,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,300,1.0,194498.86625805995,177.64518348923386,0.0489268212635317
E000228,0,P008012,a_remplacer,2.80432575486411,5.60865150972822,1.402162877432055,1402.162877432055,210.32443161480825,1612.4873090468632,300,1.0,196111.35356710682,179.04734636666592,0.04933244768119304
E000228,0,P007810,a_remplacer,0.372684471449813,1.863422357249065,0.4658555893122662,335.4160243048317,69.87833839683994,405.2943627016716,300,1.0,196516.6479298085,179.5132019559782,0.04943440079395161
E000229,0,P008003,a_remplacer,16.9947899061457,33.9895798122914,8.49739495307285,8497.394953072851,1274.6092429609275,9772.004196033778,301,1.0,206288.6521258423,188.01059690905103,0.05189258017506671
E000229,0,P008011,a_remplacer,10.0806400820172,40.3225603280688,10.0806400820172,7560.480061512901,1512.0960123025802,9072.57607381548,301,1.0,215361.22819965778,198.09123699106823,0.054174816141287774
E000229,0,P008010,a_remplacer,7.57564714734482,37.8782357367241,9.469558934181025,6818.0824326103375,1420.4338401271539,8238.516272737492,301,1.0,223599.74447239528,207.56079592524927,0.05624724165670499
E000229,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,301,1.0,229802.34917234562,212.95436522955393,0.05780752700623585
E000229,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,301,1.0,235953.7907990637,218.30344490496094,0.05935494211859007
E000229,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,301,1.0,241589.83352273333,223.2043516211954,0.06077270696359818
E000229,0,P008004,a_remplacer,4.2679056836056,21.339528418028003,5.334882104507001,3841.11511524504,800.2323156760501,4641.347430921091,301,1.0,246231.18095365443,228.5392337257024,0.061940252978356605
E000229,0,P007731,a_remplacer,3.79968906454059,18.99844532270295,4.749611330675737,3419.7201580865312,712.4416996013606,4132.161857687892,301,1.0,250363.34281134233,233.28884505637814,0.06297971170905602
E000229,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,301,1.0,253962.70294435558,236.4187234329114,0.0638851424361296
E000229,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,301,1.0,256745.7432704208,238.83875849905507,0.06458522526551705
E000229,0,P008012,a_remplacer,2.80432575486411,5.60865150972822,1.402162877432055,1402.162877432055,210.32443161480825,1612.4873090468632,301,1.0,258358.23057946766,240.24092137648714,0.06499085168317839
E000226,0,P008003,a_remplacer,16.9947899061457,33.9895798122914,8.49739495307285,8497.394953072851,1274.6092429609275,9772.004196033778,302,1.0,268130.2347755014,248.73831632955998,0.06744903106429348
E000226,0,P007458,a_remplacer,6.8843047480427,34.4215237402135,8.605380935053375,6195.87427323843,1290.8071402580063,7486.681413496436,302,1.0,275616.91618899786,257.34369726461335,0.06933233007997587
E000226,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,302,1.0,281819.52088894823,262.737266568918,0.07089261542950673
E000226,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,302,1.0,287970.96251566627,268.086346244325,0.07244003054186095
E000226,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,302,1.0,293607.0052393359,272.9872529605595,0.07385779538686905
E000226,0,P008004,a_remplacer,4.2679056836056,21.339528418028003,5.334882104507001,3841.11511524504,800.2323156760501,4641.347430921091,302,1.0,298248.352670257,278.3221350650665,0.07502534140162748
E000226,0,P008004,a_remplacer,4.2679056836056,21.339528418028003,5.334882104507001,3841.11511524504,800.2323156760501,4641.347430921091,302,1.0,302889.7001011781,283.6570171695735,0.07619288741638588
E000226,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,302,1.0,306489.06023419136,286.7868955461068,0.07709831814345948
E000226,0,P000744,a_remplacer,5.56320770970003,11.12641541940006,2.781603854850015,2781.6038548500146,417.2405782275022,3198.844433077517,302,1.0,309687.90466726886,289.5684994009568,0.07790299784590755
E000226,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,302,1.0,312470.94499333407,291.98853446710046,0.078603080675295
E000226,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,302,1.0,315253.9853193993,294.40856953324413,0.07930316350468246
E000227,0,P008003,a_remplacer,16.9947899061457,33.9895798122914,8.49739495307285,8497.394953072851,1274.6092429609275,9772.004196033778,303,1.0,325025.98951543303,302.905964486317,0.08176134288579755
E000227,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,303,1.0,331228.5942153834,308.29953379062164,0.08332162823532842
E000227,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,303,1.0,337380.03584210144,313.6486134660286,0.08486904334768262
E000227,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,303,1.0,343016.07856577105,318.5495201822631,0.08628680819269073
E000227,0,P008004,a_remplacer,4.2679056836056,21.339528418028003,5.334882104507001,3841.11511524504,800.2323156760501,4641.347430921091,303,1.0,347657.42599669215,323.8844022867701,0.08745435420744915
E000227,0,P008004,a_remplacer,4.2679056836056,21.339528418028003,5.334882104507001,3841.11511524504,800.2323156760501,4641.347430921091,303,1.0,352298.77342761325,329.21928439127714,0.08862190022220758
E000227,0,P007686,a_remplacer,7.59049553958964,15.18099107917928,3.79524776979482,3795.24776979482,569.287165469223,4364.534935264043,303,1.0,356663.3083628773,333.01453216107194,0.08971981315498928
E000227,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,303,1.0,360262.66849589057,336.1444105376052,0.09062524388206286
E000227,0,P000744,a_remplacer,5.56320770970003,11.12641541940006,2.781603854850015,2781.6038548500146,417.2405782275022,3198.844433077517,303,1.0,363461.51292896806,338.9260143924552,0.09142992358451095
E000227,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,303,1.0,366244.5532550333,341.3460494585989,0.09213000641389839
E000227,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,303,1.0,369027.5935810985,343.76608452474255,0.09283008924328584
E000365,0,P007780,a_remplacer,9.91136244085116,49.556812204255806,12.389203051063951,8920.226196766045,1858.3804576595928,10778.606654425637,304,1.0,379806.2002355241,356.1552875758065,0.09554148274082579
E000365,0,P008031,a_remplacer,10.978932377147,21.957864754294,5.4894661885735,5489.4661885735,823.419928286025,6312.886116859525,304,1.0,386119.0863523836,361.64475376437997,0.09712950973881769
E000365,0,P004862,a_remplacer,8.82148724309171,17.64297448618342,4.410743621545855,4410.743621545855,661.6115432318783,5072.355164777733,304,1.0,391191.4415171613,366.05549738592583,0.09840547714832924
E000146,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,305,1.0,397394.0462171117,371.4490666902305,0.09996576249786011
E000146,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,305,1.0,403545.48784382973,376.7981463656375,0.10151317761021432
E000146,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,305,1.0,409696.92947054777,382.14722604104446,0.10306059272256853
E000146,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,305,1.0,415332.9721942174,387.04813275727895,0.10447835756757663
E000146,0,P007802,a_remplacer,4.65316558492902,18.61266233971608,4.65316558492902,3489.874188696765,697.974837739353,4187.849026436118,305,1.0,419520.8212206535,391.70129834220796,0.10553182458636756
E000146,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,305,1.0,423120.18135366676,394.83117671874123,0.10643725531344114
E000146,0,P000644,a_remplacer,5.79686473036686,11.59372946073372,2.89843236518343,2898.4323651834297,434.7648547775145,3333.197219960944,305,1.0,426453.3785736277,397.7296090839247,0.10727573189561695
E000275,0,P008003,a_remplacer,16.9947899061457,33.9895798122914,8.49739495307285,8497.394953072851,1274.6092429609275,9772.004196033778,306,1.0,436225.38276966143,406.2270040369975,0.10973391127673206
E000275,0,P008013,a_remplacer,8.28759638847956,41.4379819423978,10.35949548559945,7458.836749631604,1553.9243228399175,9012.761072471521,306,1.0,445238.14384213294,416.58649952259697,0.11200110058517079
E000275,0,P008010,a_remplacer,7.57564714734482,37.8782357367241,9.469558934181025,6818.0824326103375,1420.4338401271539,8238.516272737492,306,1.0,453476.6601148704,426.056058456778,0.114073526100588
E000275,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,306,1.0,459679.2648148208,431.44962776108264,0.11563381145011886
E000275,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,306,1.0,465830.7064415388,436.7987074364896,0.11718122656247308
E000275,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,306,1.0,471466.7491652084,441.6996141527241,0.11859899140748119
E000275,0,P008004,a_remplacer,4.2679056836056,21.339528418028003,5.334882104507001,3841.11511524504,800.2323156760501,4641.347430921091,306,1.0,476108.09659612953,447.0344962572311,0.11976653742223961
E000275,0,P000476,a_remplacer,4.08484495788828,20.4242247894414,5.10605619736035,3676.360462099452,765.9084296040525,4442.268891703505,306,1.0,480550.36548783304,452.1405524545915,0.12088400458413325
