id_batiment,is_hospital,infra_id,type_infra,longueur,man_hours,time_total_h,material_cost,labor_cost,cost_total,plan_order,phase
E000085,1,P005500,nan,13.1420349052071,0.0,0.0,0.0,0.0,0.0,0,0
E000085,1,P007990,nan,18.7028610321555,0.0,0.0,0.0,0.0,0.0,0,0
E000085,1,P007447,nan,2.84535154473363,0.0,0.0,0.0,0.0,0.0,0,0
E000194,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,297,0
E000194,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,297,0
E000194,0,P008001,nan,9.80181343246892,0.0,0.0,0.0,0.0,0.0,297,0
E000194,0,P000719,nan,10.698159350814,0.0,0.0,0.0,0.0,0.0,297,0
E000194,0,P000719,nan,10.698159350814,0.0,0.0,0.0,0.0,0.0,297,0
E000194,0,P008001,nan,9.80181343246892,0.0,0.0,0.0,0.0,0.0,297,0
E000194,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,297,0
E000194,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,297,0
E000302,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P008001,nan,9.80181343246892,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P000719,nan,10.698159350814,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P000719,nan,10.698159350814,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P008001,nan,9.80181343246892,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P000730,nan,1.29899271965775,0.0,0.0,0.0,0.0,0.0,298,0
E000302,0,P007631,nan,4.7919164305287,0.0,0.0,0.0,0.0,0.0,298,0
E000364,0,P004862,nan,8.82148724309171,0.0,0.0,0.0,0.0,0.0,299,0
E000364,0,P008031,nan,10.978932377147,0.0,0.0,0.0,0.0,0.0,299,0
E000364,0,P007518,nan,4.91814131725302,0.0,0.0,0.0,0.0,0.0,299,0
E000228,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P008001,nan,9.80181343246892,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P000719,nan,10.698159350814,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P008003,nan,16.9947899061457,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P008004,nan,4.2679056836056,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P000494,nan,4.84007013228732,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P008010,nan,7.57564714734482,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P008012,nan,2.80432575486411,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P008011,nan,10.0806400820172,0.0,0.0,0.0,0.0,0.0,300,0
E000228,0,P007810,nan,0.372684471449813,0.0,0.0,0.0,0.0,0.0,300,0
E000229,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P008001,nan,9.80181343246892,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P000719,nan,10.698159350814,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P008003,nan,16.9947899061457,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P008004,nan,4.2679056836056,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P000494,nan,4.84007013228732,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P008010,nan,7.57564714734482,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P008012,nan,2.80432575486411,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P008011,nan,10.0806400820172,0.0,0.0,0.0,0.0,0.0,301,0
E000229,0,P007731,nan,3.79968906454059,0.0,0.0,0.0,0.0,0.0,301,0
E000226,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P008001,nan,9.80181343246892,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P000719,nan,10.698159350814,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P008003,nan,16.9947899061457,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P008004,nan,4.2679056836056,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P000494,nan,4.84007013228732,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P000494,nan,4.84007013228732,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P008004,nan,4.2679056836056,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P000744,nan,5.56320770970003,0.0,0.0,0.0,0.0,0.0,302,0
E000226,0,P007458,nan,6.8843047480427,0.0,0.0,0.0,0.0,0.0,302,0
E000227,0,P005100,nan,6.25975675306654,0.0,0.0,0.0,0.0,0.0,303,0
E000227,0,P000732,nan,10.7871386086093,0.0,0.0,0.0,0.0,0.0,303,0
