id_batiment,nb_maisons_x,infra_id,infra_type,longueur,type_infra_src,nb_maisons_y,type_batiment,type_infra,nb_maisons,hours_per_m,cost_per_m,man_hours,time_total_h,material_cost,labor_cost,cost_total,a_reparer,is_hospital
E000003,1,P007113,a_remplacer,12.1935087083631,aerien,1,habitation,a_remplacer,1,2,500,24.3870174167262,6.09675435418155,6096.754354181549,914.5131531272325,7011.267507308782,1,0
E000003,1,P007984,a_remplacer,30.0575979492587,aerien,1,habitation,a_remplacer,1,2,500,60.1151958985174,15.02879897462935,15028.79897462935,2254.3198461944025,17283.11882082375,1,0
E000003,1,P007823,a_remplacer,12.290282829583,aerien,1,habitation,a_remplacer,1,2,500,24.580565659166,6.1451414147915,6145.141414791499,921.7712122187249,7066.912627010224,1,0
E000067,1,P006193,a_remplacer,12.1863879405322,fourreau,4,habitation,a_remplacer,1,5,900,60.931939702661,15.23298492566525,10967.74914647898,2284.9477388497876,13252.696885328767,1,0
E000067,1,P002851,a_remplacer,10.8032015604234,semi-aerien,4,habitation,a_remplacer,1,4,750,43.2128062416936,10.8032015604234,8102.40117031755,1620.48023406351,9722.88140438106,1,0
E000067,1,P007624,a_remplacer,4.10990474598487,aerien,4,habitation,a_remplacer,1,2,500,8.21980949196974,2.054952372992435,2054.952372992435,308.2428559488652,2363.1952289413002,1,0
E000085,1,P005500,a_remplacer,13.1420349052071,aerien,1,hôpital,a_remplacer,1,2,500,26.2840698104142,6.57101745260355,6571.01745260355,985.6526178905325,7556.670070494082,1,1
E000085,1,P007990,a_remplacer,18.7028610321555,aerien,1,hôpital,a_remplacer,1,2,500,37.405722064311,9.35143051607775,9351.43051607775,1402.7145774116625,10754.145093489413,1,1
E000085,1,P007447,a_remplacer,2.84535154473363,fourreau,1,hôpital,a_remplacer,1,5,900,14.22675772366815,3.5566894309170376,2560.8163902602673,533.5034146375557,3094.319804897823,1,1
E000098,1,P005531,a_remplacer,14.8493095953268,aerien,7,habitation,a_remplacer,1,2,500,29.6986191906536,7.4246547976634,7424.654797663399,1113.6982196495098,8538.35301731291,1,0
E000098,1,P007639,a_remplacer,6.13280316452202,fourreau,7,habitation,a_remplacer,1,5,900,30.6640158226101,7.666003955652525,5519.522848069818,1149.9005933478788,6669.423441417697,1,0
E000106,1,P005500,a_remplacer,13.1420349052071,aerien,1,école,a_remplacer,1,2,500,26.2840698104142,6.57101745260355,6571.01745260355,985.6526178905325,7556.670070494082,1,0
E000106,1,P007990,a_remplacer,18.7028610321555,aerien,1,école,a_remplacer,1,2,500,37.405722064311,9.35143051607775,9351.43051607775,1402.7145774116625,10754.145093489413,1,0
E000106,1,P001391,a_remplacer,7.63593644945982,fourreau,1,école,a_remplacer,1,5,900,38.1796822472991,9.544920561824775,6872.342804513838,1431.7380842737161,8304.080888787554,1,0
E000106,1,P007752,a_remplacer,3.12835142463862,aerien,1,école,a_remplacer,1,2,500,6.25670284927724,1.56417571231931,1564.1757123193102,234.62635684789652,1798.8020691672066,1,0
E000107,1,P005500,a_remplacer,13.1420349052071,aerien,2,habitation,a_remplacer,1,2,500,26.2840698104142,6.57101745260355,6571.01745260355,985.6526178905325,7556.670070494082,1,0
E000107,1,P007990,a_remplacer,18.7028610321555,aerien,2,habitation,a_remplacer,1,2,500,37.405722064311,9.35143051607775,9351.43051607775,1402.7145774116625,10754.145093489413,1,0
E000107,1,P001391,a_remplacer,7.63593644945982,fourreau,2,habitation,a_remplacer,1,5,900,38.1796822472991,9.544920561824775,6872.342804513838,1431.7380842737161,8304.080888787554,1,0
E000107,1,P007689,a_remplacer,5.1037127857757,aerien,2,habitation,a_remplacer,1,2,500,10.2074255715514,2.55185639288785,2551.8563928878502,382.77845893317755,2934.634851821028,1,0
E000108,1,P005500,a_remplacer,13.1420349052071,aerien,6,habitation,a_remplacer,1,2,500,26.2840698104142,6.57101745260355,6571.01745260355,985.6526178905325,7556.670070494082,1,0
E000108,1,P007991,a_remplacer,7.5088306175948,fourreau,6,habitation,a_remplacer,1,5,900,37.544153087973996,9.386038271993499,6757.94755583532,1407.905740799025,8165.853296634345,1,0
E000108,1,P007997,a_remplacer,30.1295771789513,fourreau,6,habitation,a_remplacer,1,5,900,150.6478858947565,37.66197147368913,27116.619461056172,5649.29572105337,32765.915182109544,1,0
E000108,1,P007476,a_remplacer,4.92849119929359,fourreau,6,habitation,a_remplacer,1,5,900,24.642455996467948,6.160613999116987,4435.642079364231,924.0920998675481,5359.734179231779,1,0
E000109,1,P005500,a_remplacer,13.1420349052071,aerien,6,habitation,a_remplacer,1,2,500,26.2840698104142,6.57101745260355,6571.01745260355,985.6526178905325,7556.670070494082,1,0
E000109,1,P007991,a_remplacer,7.5088306175948,fourreau,6,habitation,a_remplacer,1,5,900,37.544153087973996,9.386038271993499,6757.94755583532,1407.905740799025,8165.853296634345,1,0
E000109,1,P007997,a_remplacer,30.1295771789513,fourreau,6,habitation,a_remplacer,1,5,900,150.6478858947565,37.66197147368913,27116.619461056172,5649.29572105337,32765.915182109544,1,0
E000109,1,P007572,a_remplacer,5.62700791605979,aerien,6,habitation,a_remplacer,1,2,500,11.25401583211958,2.813503958029895,2813.503958029895,422.0255937044842,3235.5295517343793,1,0
E000110,1,P005500,a_remplacer,13.1420349052071,aerien,3,habitation,a_remplacer,1,2,500,26.2840698104142,6.57101745260355,6571.01745260355,985.6526178905325,7556.670070494082,1,0
E000110,1,P007991,a_remplacer,7.5088306175948,fourreau,3,habitation,a_remplacer,1,5,900,37.544153087973996,9.386038271993499,6757.94755583532,1407.905740799025,8165.853296634345,1,0
E000110,1,P007998,a_remplacer,37.0636340148083,aerien,3,habitation,a_remplacer,1,2,500,74.1272680296166,18.53181700740415,18531.81700740415,2779.7725511106228,21311.589558514774,1,0
